Open,High,Low,Close,Adj Close,Volume,Date
12.98,13.2,12.96,13.03,10.146143,384300.0,2017-07-12
13.01,13.01,12.85,12.94,10.076064,311100.0,2017-07-13
12.97,13.12,12.95,13.09,10.192865,307900.0,2017-07-14
13.08,13.2,13.01,13.17,10.255158,288000.0,2017-07-17
13.19,13.32,13.09,13.21,10.286307,388000.0,2017-07-18
13.24,13.3,13.15,13.21,10.286307,299000.0,2017-07-19
13.25,13.43,13.24,13.39,10.426467,431200.0,2017-07-20
13.44,13.44,13.15,13.17,10.255158,202100.0,2017-07-21
13.17,13.35,13.1,13.16,10.247372,219600.0,2017-07-24
13.2,13.29,13.15,13.18,10.262946,274900.0,2017-07-25
13.18,13.35,13.15,13.3,10.356387,288900.0,2017-07-26
13.29,13.43,13.16,13.39,10.426467,247800.0,2017-07-27
13.35,13.42,13.23,13.37,10.410892,291400.0,2017-07-28
13.39,13.39,13.22,13.26,10.325241,468800.0,2017-07-31
13.2,13.51,13.2,13.42,10.449827,269100.0,2017-08-01
13.39,13.4,13.14,13.2,10.27852,228300.0,2017-08-02
13.21,13.49,13.11,13.46,10.480973,408300.0,2017-08-03
13.43,13.55,13.43,13.51,10.519909,284500.0,2017-08-04
13.5,13.51,13.38,13.42,10.449827,138500.0,2017-08-07
13.39,13.45,13.28,13.34,10.387533,195600.0,2017-08-08
13.33,13.35,13.18,13.32,10.371961,210100.0,2017-08-09
13.28,13.37,13.16,13.18,10.262946,224000.0,2017-08-10
13.0,13.11,12.95,13.0,10.122784,275000.0,2017-08-11
13.03,13.48,12.97,13.43,10.457614,418100.0,2017-08-14
13.38,13.38,13.16,13.17,10.255158,225200.0,2017-08-15
13.16,13.32,13.13,13.17,10.255158,325500.0,2017-08-16
13.15,13.39,13.15,13.19,10.270732,299700.0,2017-08-17
13.1,13.14,12.97,13.04,10.153931,1097700.0,2017-08-18
13.04,13.24,13.0,13.24,10.309666,158800.0,2017-08-21
13.25,13.29,13.16,13.26,10.325241,176600.0,2017-08-22
13.24,13.42,13.23,13.39,10.426467,151400.0,2017-08-23
13.4,13.5,13.31,13.32,10.371961,300200.0,2017-08-24
13.39,13.47,13.22,13.4,10.434254,335100.0,2017-08-25
13.4,13.47,13.2,13.22,10.294094,275300.0,2017-08-28
13.25,13.33,13.19,13.25,10.317452,213600.0,2017-08-29
13.21,13.38,13.16,13.36,10.403106,316200.0,2017-08-30
13.38,13.57,13.37,13.37,10.410892,339400.0,2017-08-31
13.41,13.53,13.32,13.51,10.519909,207600.0,2017-09-01
13.49,13.58,13.21,13.27,10.333026,266200.0,2017-09-05
13.43,13.64,13.37,13.61,10.597775,454900.0,2017-09-06
