Open,High,Low,Close,Adj Close,Volume,Date
93.18,93.949997,92.120003,92.889999,90.828606,55600.0,2017-07-12
93.190002,94.010002,91.860001,92.529999,90.574112,43000.0,2017-07-13
92.339996,93.339996,92.269997,92.68,90.72094,35800.0,2017-07-14
92.690002,93.349998,92.190002,92.400002,90.446854,40500.0,2017-07-17
92.07,92.239998,90.980003,91.400002,89.467987,30300.0,2017-07-18
91.519997,92.199997,91.480003,92.050003,90.104248,43400.0,2017-07-19
92.0,92.580002,91.559998,92.099998,90.153183,37800.0,2017-07-20
92.110001,92.529999,91.330002,92.059998,90.114044,53300.0,2017-07-21
92.099998,93.199997,91.82,92.239998,90.290245,74100.0,2017-07-24
93.139999,95.589996,92.5,95.480003,93.461731,112500.0,2017-07-25
95.620003,95.620003,93.809998,94.110001,92.120712,32200.0,2017-07-26
92.019997,94.459999,92.019997,93.510002,91.533379,49600.0,2017-07-27
93.519997,93.959999,92.910004,93.160004,91.190804,35800.0,2017-07-28
92.220001,93.919998,92.220001,93.010002,91.043953,25800.0,2017-07-31
93.559998,94.419998,92.739998,93.309998,91.337616,51600.0,2017-08-01
94.059998,94.099998,91.559998,93.220001,91.249527,53800.0,2017-08-02
93.040001,93.879997,90.099998,91.190002,89.262436,65300.0,2017-08-03
91.400002,92.739998,91.150002,92.550003,90.593681,52700.0,2017-08-04
92.559998,92.650002,91.290001,92.43,90.476204,40700.0,2017-08-07
92.150002,95.400002,91.830002,94.190002,92.19902,83500.0,2017-08-08
93.839996,93.839996,91.510002,92.110001,90.162979,40400.0,2017-08-09
91.019997,92.480003,91.019997,91.519997,89.585442,48200.0,2017-08-10
91.440002,91.760002,90.809998,91.18,89.252625,33300.0,2017-08-11
91.879997,93.150002,91.190002,92.339996,90.38813,27200.0,2017-08-14
92.389999,93.760002,90.830002,91.059998,89.135162,35300.0,2017-08-15
90.519997,92.18,90.519997,91.019997,89.096016,24600.0,2017-08-16
90.5,91.730003,88.32,88.720001,86.844643,55800.0,2017-08-17
86.410004,89.849998,86.410004,88.959999,87.079567,69400.0,2017-08-18
88.75,89.790001,88.75,89.550003,87.657097,51800.0,2017-08-21
89.93,91.139999,89.690002,90.32,88.41082,26200.0,2017-08-22
89.839996,90.239998,89.050003,89.709999,87.813713,56700.0,2017-08-23
90.139999,90.139999,88.379997,88.800003,86.922943,25800.0,2017-08-24
87.540001,89.739998,87.540001,89.330002,87.441772,32400.0,2017-08-25
89.699997,89.699997,88.150002,89.099998,87.216576,30700.0,2017-08-28
88.610001,89.440002,87.540001,89.269997,87.382996,31700.0,2017-08-29
89.269997,89.980003,88.769997,89.849998,87.950737,22900.0,2017-08-30
88.900002,92.099998,88.900002,91.760002,89.820389,46100.0,2017-08-31
90.910004,92.720001,90.910004,92.019997,90.074883,34300.0,2017-09-01
91.970001,92.93,90.860001,91.589996,89.653969,48300.0,2017-09-05
91.989998,91.989998,90.330002,90.989998,89.066658,20100.0,2017-09-06
90.089996,91.970001,90.089996,90.68,88.763229,52400.0,2017-09-07
90.650002,91.580002,89.910004,90.75,88.831741,43100.0,2017-09-08
91.470001,91.82,90.75,90.970001,89.047066,70700.0,2017-09-11
91.260002,91.550003,90.75,91.089996,89.164528,38300.0,2017-09-12
91.18,92.860001,91.18,92.650002,90.691559,85800.0,2017-09-13
92.510002,94.389999,91.790001,94.279999,92.287109,63100.0,2017-09-14
95.150002,96.970001,94.470001,96.959999,94.910469,178100.0,2017-09-15
97.550003,100.269997,97.25,99.989998,97.876419,89200.0,2017-09-18
100.209999,101.400002,99.839996,100.779999,98.649727,54900.0,2017-09-19
100.690002,101.57,100.209999,101.57,99.423004,53200.0,2017-09-20
101.389999,102.099998,100.82,101.120003,98.982544,63600.0,2017-09-21
100.82,102.260002,100.489998,101.57,99.423004,31200.0,2017-09-22
101.940002,103.18,100.43,102.059998,99.902649,44500.0,2017-09-25
102.43,104.629997,102.43,103.5,101.312218,58000.0,2017-09-26
103.5,105.949997,102.580002,105.18,102.956703,46800.0,2017-09-27
105.089996,107.300003,104.440002,107.029999,104.767593,40500.0,2017-09-28
107.489998,107.75,106.459999,107.370003,105.10041,54000.0,2017-09-29
107.889999,108.900002,106.419998,108.889999,106.588287,45000.0,2017-10-02
108.07,111.019997,107.989998,109.970001,107.645454,83400.0,2017-10-03
109.82,110.139999,108.110001,108.970001,106.666603,59900.0,2017-10-04
109.110001,109.110001,107.489998,107.959999,105.677956,48200.0,2017-10-05
107.690002,108.769997,107.449997,108.489998,106.196732,38800.0,2017-10-06
108.489998,109.150002,107.970001,108.870003,106.568695,30100.0,2017-10-09
109.519997,109.650002,108.519997,108.57,106.275047,29300.0,2017-10-10
108.910004,109.5,108.440002,108.940002,106.637238,38900.0,2017-10-11
109.120003,110.650002,108.0,108.18,105.893295,105800.0,2017-10-12
108.279999,109.190002,107.93,108.300003,106.108826,47400.0,2017-10-13
108.389999,110.919998,108.389999,109.550003,107.333549,48900.0,2017-10-16
109.669998,110.190002,107.519997,107.610001,105.432816,46500.0,2017-10-17
108.110001,109.089996,107.120003,108.160004,105.971703,56000.0,2017-10-18
107.330002,108.910004,106.410004,108.389999,106.197014,47000.0,2017-10-19
109.099998,109.739998,107.629997,107.82,105.63855,48500.0,2017-10-20
108.339996,108.339996,106.559998,106.830002,104.668579,48200.0,2017-10-23
107.150002,108.629997,107.099998,107.419998,105.246635,38400.0,2017-10-24
107.599998,107.809998,106.209999,107.68,105.501396,48100.0,2017-10-25
107.970001,108.720001,107.529999,108.18,105.99128,31500.0,2017-10-26
108.220001,109.370003,106.839996,108.120003,105.932487,53500.0,2017-10-27
107.209999,107.459999,104.760002,105.489998,103.355705,44200.0,2017-10-30
106.089996,107.089996,105.309998,105.5,103.365494,86300.0,2017-10-31
106.07,110.940002,105.139999,109.75,107.52951,121900.0,2017-11-01
110.779999,112.0,108.279999,110.239998,108.00959,93100.0,2017-11-02
111.529999,114.339996,108.339996,110.650002,108.411293,113300.0,2017-11-03
110.449997,114.57,108.910004,113.559998,111.262421,63300.0,2017-11-06
